ncaa_name,espn_name,primary_color,secondary_color,tertiary_color,color_4,color_5,color_6,logo_url,color_3,conference,ID
North Florida,North Florida,#00246B,#D9D9D9,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/a/ac/North_Florida_Ospreys_logo.svg/320px-North_Florida_Ospreys_logo.svg.png,NA,A-Sun,1316
North Texas,North Texas,#00853E,#000000,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/North_Texas_Mean_Green_logo.svg/215px-North_Texas_Mean_Green_logo.svg.png,NA,C-USA,1317
Northeastern,Northeastern,#E50000,#000000,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/4/4d/Northeastern_Huskies_primary_logo.svg/245px-Northeastern_Huskies_primary_logo.svg.png,NA,CAA,1318
Northern Ariz.,N Arizona,#FFD200,#FBB040,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Northern_Arizona_Athletics_logo.svg/320px-Northern_Arizona_Athletics_logo.svg.png,NA,Big Sky,1319
Northern Colo.,N Colorado,#F6B000,#F6B000,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/Northern_Colorado_Bears_logo.svg/239px-Northern_Colorado_Bears_logo.svg.png,NA,Big Sky,1294
Northern Ill.,N Illinois,#BA0C2F,#8A8D8F,#000000,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/8/87/Northern_Illinois_Huskies_logo.svg/246px-Northern_Illinois_Huskies_logo.svg.png,NA,MAC,1296
Northern Ky.,N Kentucky,#FFC72C,#000000,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/4/45/Northern_Kentucky_Norse_logo.svg/320px-Northern_Kentucky_Norse_logo.svg.png,NA,Horizon,1297
Northwestern,Northwestern,#4E2A84,#FFFFFF,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Northwestern_Wildcats_logo.svg/156px-Northwestern_Wildcats_logo.svg.png,NA,Big 10,1321
Northwestern St.,Northwestern St,#492F92,#F78426,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Northwestern_State_Demons_wordmark.svg/320px-Northwestern_State_Demons_wordmark.svg.png,NA,Southland,1322
Notre Dame,Notre Dame,#0C2340,#C99700,#AE9142,#00843D,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Notre_Dame_Fighting_Irish_logo.svg/267px-Notre_Dame_Fighting_Irish_logo.svg.png,NA,ACC,1323
Oakland,Oakland,#B59A57,#000000,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/8/86/Oakland_Golden_Grizzlies_logo.svg/303px-Oakland_Golden_Grizzlies_logo.svg.png,NA,Horizon,1324
Ohio,Ohio,#00694E,#CDA077,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/7/78/Ohio_Bobcats_logo.svg/279px-Ohio_Bobcats_logo.svg.png,NA,MAC,1325
Ohio St.,Ohio State,#BB0000,#666666,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Ohio_State_Buckeyes_logo.svg/244px-Ohio_State_Buckeyes_logo.svg.png,NA,Big 10,1326
Oklahoma,Oklahoma,#841617,#FDF9D8,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Oklahoma_Sooners_logo.svg/186px-Oklahoma_Sooners_logo.svg.png,NA,Big 12,1328
Oklahoma St.,Oklahoma State,#FF7300,#000000,#FF9900,#BEBEBE,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Oklahoma_State_University_system_logo.svg/320px-Oklahoma_State_University_system_logo.svg.png,NA,Big 12,1329
Old Dominion,Old Dominion,#003057,#92C1E9,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/b/b4/Old_Dominion_Athletics_logo.svg/284px-Old_Dominion_Athletics_logo.svg.png,NA,C-USA,1330
Ole Miss,Ole Miss,#CE1126,#14213D,#FFFFFF,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Ole_Miss_Rebels_logo.svg/320px-Ole_Miss_Rebels_logo.svg.png,NA,SEC,1279
Omaha,Omaha,#000000,#D71920,#636568,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Omaha_Mavericks_logo.svg/246px-Omaha_Mavericks_logo.svg.png,NA,Summit,1303
Oral Roberts,Oral Roberts,#002F60,#C5B783,#A28E2A,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/d/d8/Oral_Roberts_Golden_Eagles_logo.svg/320px-Oral_Roberts_Golden_Eagles_logo.svg.png,NA,Summit,1331
Oregon,Oregon,#154733,#FEE123,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Oregon_Ducks_logo.svg/290px-Oregon_Ducks_logo.svg.png,NA,Pac 12,1332
Oregon St.,Oregon State,#DC4405,#000000,#FFFFFF,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/1/1b/Oregon_State_Beavers_logo.svg/320px-Oregon_State_Beavers_logo.svg.png,NA,Pac 12,1333
Pacific,Pacific,#E35205,#231F20,#D86018,#949A90,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/5/5e/Pacific_Tigers_logo.svg/320px-Pacific_Tigers_logo.svg.png,NA,WCC,1334
Penn,Penn,#990000,#011F5B,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Penn_Quakers_logo.svg/197px-Penn_Quakers_logo.svg.png,NA,Ivy,1335
Penn St.,Penn State,#093162,#FFFFFF,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/3/3a/Penn_State_Nittany_Lions_logo.svg/320px-Penn_State_Nittany_Lions_logo.svg.png,NA,Big 10,1336
Pepperdine,Pepperdine,#00205C,#EE7624,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Pepperdine_Waves_logo.svg/226px-Pepperdine_Waves_logo.svg.png,NA,WCC,1337
Pittsburgh,Pitt,#1C2957,#CDB87D,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Pitt_Panthers_wordmark.svg/320px-Pitt_Panthers_wordmark.svg.png,NA,ACC,1338
Portland,Portland,#1E1656,#5E6A71,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Portland_Pilots_logo.svg/213px-Portland_Pilots_logo.svg.png,NA,WCC,1339
Portland St.,Portland State,#154734,#FFFFFF,#373A36,#2C2A29,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Portland_State_Vikings_logo.svg/186px-Portland_State_Vikings_logo.svg.png,NA,Big Sky,1340
Prairie View,PV A&M,#330066,#FFCC33,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Prairie_View_A%26M_Panthers_logo.svg/320px-Prairie_View_A%26M_Panthers_logo.svg.png,NA,SWAC,1341
Presbyterian,Presbyterian,#0060A9,#9D2235,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Presbyterian_College_logo.svg/237px-Presbyterian_College_logo.svg.png,NA,Big South,1342
Princeton,Princeton,#FF671F,#000000,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Princeton_Tigers_logo.svg/210px-Princeton_Tigers_logo.svg.png,NA,Ivy,1343
Providence,Providence,#000000,#8A8D8F,#FFFFFF,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/5/5f/Providence_Friars_P_script_logo.gif,NA,Big East,1344
Purdue,Purdue,#CEB888,#000000,#9D968D,#373A36,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Purdue_Boilermakers_logo.svg/320px-Purdue_Boilermakers_logo.svg.png,NA,Big 10,1345
Purdue Fort Wayne,Fort Wayne,#002F6C,#000000,#63666A,#97999B,#BBBCBC,NA,https://upload.wikimedia.org/wikipedia/en/thumb/1/14/Purdue_Fort_Wayne_Mastodons_logo.svg/202px-Purdue_Fort_Wayne_Mastodons_logo.svg.png,NA,Horizon,1236
Quinnipiac,Quinnipiac,#0A2240,#FFB819,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/2/2c/Quinnipiac_Bobcats_logo.svg,NA,MAAC,1346
Radford,Radford,#C2011B,#808285,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Radford_Highlanders_logo.svg/284px-Radford_Highlanders_logo.svg.png,NA,Big South,1347
Rhode Island,URI,#68ABE8,#002147,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Rhode_Island_Rams_logo.svg/187px-Rhode_Island_Rams_logo.svg.png,NA,A-10,1348
Rice,Rice,#00205B,#C1C6C8,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Rice_Owls_logo.svg/200px-Rice_Owls_logo.svg.png,NA,C-USA,1349
Richmond,Richmond,#000066,#990000,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Richmond_Spiders_logo.svg/175px-Richmond_Spiders_logo.svg.png,NA,A-10,1350
Rider,Rider,#981E32,#6C6F70,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/6/62/Rider_Broncs.svg/320px-Rider_Broncs.svg.png,NA,MAAC,1351
Robert Morris,Robert Morris,#14234B,#A6192E,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/en/thumb/a/af/Robert_Morris_Colonials_logo.svg/208px-Robert_Morris_Colonials_logo.svg.png,NA,Horizon,1352
Rutgers,Rutgers,#CC0033,#5F6A72,#000000,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Rutgers_Scarlet_Knights_logo.svg/270px-Rutgers_Scarlet_Knights_logo.svg.png,NA,Big 10,1353
Sacramento St.,Sacramento St,#043927,#C4B581,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/6/61/Sacramento_State_Hornets_logo.svg,NA,Big Sky,1170
Sacred Heart,Sacred Heart,#CD1041,#FFFFFF,NA,NA,NA,NA,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Sacred_Heart_Pioneers_logo.svg/320px-Sacred_Heart_Pioneers_logo.svg.png,NA,NEC,1357
